time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.735506	0.629636	7.19978	3.48235e-17	2.05999e-17	radar	74.7705	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.1605	0.494954	7.20284	-0.127222	-0.0118592	lidar	0.221183	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.25809	0.533059	7.1882	0.122918	0.03068	radar	1.82474	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.61575	0.595373	7.20157	0.161658	0.0462497	lidar	0.167718	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.85109	0.561723	6.01705	0.0247853	-0.236321	radar	7.7725	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.16319	0.591005	6.01655	0.0395109	-0.180175	lidar	0.255005	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.37918	0.636666	5.62116	0.0540068	-0.35549	radar	6.42882	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.65699	0.653466	5.61817	0.0425142	-0.331913	lidar	0.0097326	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.9235	0.646779	5.55464	-0.0063857	-0.490729	radar	0.472916	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.15993	0.641923	5.51104	-0.0199588	-0.453635	lidar	1.22292	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.44523	0.537898	5.54153	-0.168045	-0.865247	radar	1.24519	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.74823	0.425908	5.60322	-0.285374	-1.07988	lidar	2.03766	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.02951	0.50948	5.56318	-0.149807	-0.559791	radar	4.19586	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.30373	0.501017	5.5472	-0.14297	-0.475974	lidar	0.396219	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.56563	0.534233	5.48331	-0.105976	-0.347466	radar	2.25008	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.75845	0.637712	5.34221	-0.00836127	-0.109333	lidar	13.3849	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	5.01231	0.634259	5.29762	-0.0189553	-0.123007	radar	2.39475	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.31353	0.633916	5.33734	-0.0218459	-0.116436	lidar	2.22954	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.57088	0.642425	5.33367	-0.0147495	-0.0922859	radar	1.64505	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.8638	0.66101	5.35842	-0.00392571	-0.0662096	lidar	1.45303	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.10913	0.585438	5.32673	-0.0591479	-0.152788	radar	4.05382	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.3672	0.700751	5.3023	0.017287	-0.0223377	lidar	4.22651	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.6204	0.730815	5.2778	0.0306484	-0.0018825	radar	1.06555	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.86948	0.731248	5.26451	0.0263276	-0.00789936	lidar	0.412553	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.11873	0.712212	5.23267	0.00857158	-0.0351738	radar	4.1617	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.34418	0.798634	5.19435	0.0545249	0.0309261	lidar	3.94161	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.62931	0.810665	5.22762	0.0551485	0.030313	radar	3.21882	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.87968	0.790859	5.21896	0.038579	0.00633742	lidar	0.617263	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.13486	0.806936	5.20143	0.0404684	0.0064007	radar	3.06298	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.37477	0.826786	5.18396	0.0460243	0.0134526	lidar	0.838248	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.63627	0.915277	5.19759	0.0869899	0.0675893	radar	6.42811	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.87403	0.976562	5.18022	0.110196	0.0934989	lidar	1.19737	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.15708	1.01529	5.20428	0.118911	0.0982834	radar	6.24855	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.39476	1.05026	5.18734	0.126307	0.101878	lidar	0.982887	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	9.66752	1.12285	5.20569	0.15016	0.125673	radar	4.31337	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444800000	9.93386	1.25319	5.21952	0.200461	0.182021	lidar	3.06038	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	10.1872	1.3463	5.2129	0.230765	0.211623	radar	4.62263	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.4151	1.42953	5.19497	0.253901	0.228643	lidar	1.4757	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6558	1.52321	5.17834	0.282805	0.256632	radar	4.65764	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8872	1.55555	5.15972	0.277171	0.233962	lidar	1.85406	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1483	1.60897	5.1682	0.278346	0.219499	radar	1.52865	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.4224	1.6516	5.18337	0.272397	0.196745	lidar	1.50663	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6594	1.71635	5.16824	0.282261	0.199806	radar	1.39272	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8929	1.78085	5.15609	0.289767	0.197351	lidar	0.717032	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1419	1.87074	5.16483	0.305157	0.202214	radar	0.976094	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3875	1.89772	5.15388	0.290828	0.171533	lidar	1.0291	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6387	1.95702	5.15839	0.28981	0.15683	radar	0.886563	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8413	2.09462	5.14054	0.332971	0.202865	lidar	3.75038	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0957	2.1949	5.16046	0.344877	0.199153	radar	3.38729	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2994	2.33847	5.14628	0.385959	0.239517	lidar	2.73493	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4904	2.49974	5.12067	0.439958	0.302174	radar	11.1762	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7346	2.60785	5.12977	0.451676	0.297217	lidar	0.529689	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9554	2.72884	5.12375	0.47328	0.308584	radar	0.334499	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1793	2.87559	5.13041	0.501843	0.324475	lidar	0.319761	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
